EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
38	09:56:55	2	0.0063	0.7702977449428744	0.8256498575210571	0.9198	0.735	0.8171	0.7801398038864136	0.8755	0.7175	0.7887
39	10:06:40	3	0.0063	0.7621843621498201	0.8230722546577454	0.8517	0.802	0.8261	0.7786561846733093	0.809	0.7835	0.796
40	10:16:32	0	0.0063	0.7749268675722727	0.8202133178710938	0.8954	0.7564	0.8201	0.7772138118743896	0.8622	0.735	0.7935
41	10:26:11	1	0.0063	0.7744162773213735	0.817266583442688	0.8818	0.765	0.8193	0.7582539916038513	0.862	0.7405	0.7966
42	10:35:48	2	0.0063	0.7482921856932524	0.8228936791419983	0.8911	0.7578	0.8191	0.7817709445953369	0.8635	0.734	0.7935
43	10:45:27	3	0.0063	0.7444674657430591	0.8310446739196777	0.9106	0.7108	0.7984	0.792831301689148	0.908	0.706	0.7944
44	10:55:12	0	0.0031	0.7706212937831879	0.8261748552322388	0.9134	0.7066	0.7968	0.7817407846450806	0.9042	0.708	0.7942
45	11:04:46	1	0.0031	0.7518138654348326	0.8171116709709167	0.91	0.7493	0.8219	0.7667127251625061	0.871	0.716	0.7859
46	11:14:23	2	0.0031	0.7413433803290855	0.821314811706543	0.9204	0.7251	0.8112	0.7758157849311829	0.9042	0.7075	0.7938
47	11:24:00	3	0.0031	0.7320483008535897	0.808117687702179	0.8905	0.7764	0.8295	0.7569031715393066	0.8645	0.7435	0.7994
48	11:33:45	0	0.0031	0.7756040714135984	0.8185727000236511	0.9097	0.7464	0.82	0.7680707573890686	0.9055	0.719	0.8015
49	11:43:28	1	0.0031	0.7393425796090103	0.8057196140289307	0.9142	0.7436	0.8201	0.7632976174354553	0.8693	0.728	0.7924
50	11:53:07	2	0.0031	0.7472081693207345	0.8173283338546753	0.9173	0.7108	0.801	0.7744315266609192	0.9037	0.7035	0.7911
51	12:02:42	3	0.0031	0.7345833480358124	0.8089994788169861	0.9173	0.7265	0.8108	0.7641537189483643	0.904	0.711	0.796
52	12:12:22	0	0.0016	0.7332114399933234	0.8146082758903503	0.9248	0.7009	0.7974	0.7755167484283447	0.9077	0.708	0.7955
53	12:21:59	1	0.0016	0.7548966260944925	0.7999300360679626	0.9027	0.7536	0.8214	0.7534099221229553	0.8609	0.7365	0.7939
54	12:31:33	2	0.0016	0.7300752409347674	0.8132969737052917	0.9252	0.7051	0.8003	0.7763622999191284	0.9086	0.711	0.7977
55	12:41:03	3	0.0016	0.7447355267478198	0.8039636611938477	0.9049	0.7593	0.8257	0.7544582486152649	0.8687	0.741	0.7998
56	12:50:40	0	0.0008	0.7188729140816665	0.804209291934967	0.9156	0.7422	0.8198	0.7580784559249878	0.8858	0.729	0.7998
57	13:00:24	1	0.0008	0.735213385704087	0.8095832467079163	0.9171	0.7251	0.8099	0.7642648220062256	0.9072	0.709	0.7959
58	13:10:06	2	0.0008	0.7375298359045168	0.8134195804595947	0.9271	0.7251	0.8138	0.7699271440505981	0.9089	0.7085	0.7963
59	13:19:38	3	0.0008	0.7275879513199737	0.8124054074287415	0.9252	0.7051	0.8003	0.7707253694534302	0.9072	0.709	0.7959
60	13:29:10	0	0.0004	0.7561388140771447	0.8102690577507019	0.9271	0.7251	0.8138	0.7693722248077393	0.9055	0.7135	0.7981
61	13:38:42	1	0.0004	0.7205994653992537	0.808870255947113	0.9271	0.7251	0.8138	0.7692850828170776	0.9058	0.716	0.7998
62	13:48:07	2	0.0004	0.712397207138015	0.8046894073486328	0.9149	0.735	0.8151	0.7635182738304138	0.8916	0.7235	0.7988
63	13:57:42	3	0.0004	0.7250541857103022	0.8066177368164062	0.9246	0.7336	0.8181	0.7659191489219666	0.9059	0.717	0.8005
64	14:07:23	0	0.0002	0.7223327497156655	0.807085394859314	0.9246	0.7336	0.8181	0.766982913017273	0.9059	0.717	0.8005
65	14:16:54	1	0.0002	0.7250266043151298	0.807445764541626	0.9246	0.7336	0.8181	0.7669117450714111	0.9058	0.716	0.7998
66	14:26:17	2	0.0002	0.7242376888125408	0.807307243347168	0.9246	0.7336	0.8181	0.7660022974014282	0.9058	0.716	0.7998
67	14:35:50	3	0.0002	0.7310260016743729	0.8069555759429932	0.9246	0.7336	0.8181	0.7653653621673584	0.9058	0.716	0.7998
